;site;poissons;Abondance
1524;T_S268;4203;2
1525;T_S255;4204;33
1526;T_S256;4204;30
1527;T_S257;4204;24
1528;T_S258;4204;20
1529;T_S260;4204;25
1530;T_S261;4204;2
1531;T_S263;4204;7
1532;T_S265;4204;27
1533;T_S266;4204;36
1534;T_S267;4204;165
1535;T_S268;4204;73
1536;T_S269;4204;49
1537;T_S270;4204;3
1538;T_S271;4204;124
1539;T_S272;4204;47
1540;T_S274;4204;7
1541;T_S256;4205;7
1542;T_S257;4205;8
1543;T_S258;4205;5
1544;T_S260;4205;2
1545;T_S263;4205;19
1546;T_S264;4205;13
1547;T_S266;4205;22
1548;T_S267;4205;48
1549;T_S268;4205;5
1550;T_S271;4205;1
1551;T_S272;4205;2
1552;T_S275;4205;1
1553;T_S249;4206;2
1554;T_S252;4206;9
1555;T_S253;4206;10
1556;T_S254;4206;20
1557;T_S255;4206;150
1558;T_S259;4206;5
1559;T_S261;4206;6
1560;T_S262;4206;1
1561;T_S263;4206;27
1562;T_S264;4206;14
1563;T_S265;4206;73
1564;T_S273;4206;96
1565;T_S249;4207;1
1566;T_S253;4207;2
1567;T_S254;4207;19
1568;T_S263;4207;1
1569;T_S264;4207;1
1570;T_S266;4207;2
1571;T_S274;4207;3
1572;T_S251;4238;1
1573;T_S253;4238;2
1574;T_S257;4238;1
1575;T_S258;4238;1
1576;T_S266;4238;2
1577;T_S271;4238;3
1578;T_S272;4238;4
1579;T_S273;4238;3
1580;T_S275;4238;1
1581;T_S266;4256;1
1582;T_S267;4256;2
1583;T_S268;4256;1
1584;T_S271;4256;1
1585;T_S272;4256;2
1586;T_S274;4256;2
1587;T_S257;4258;1
1588;T_S258;4258;3
1589;T_S263;4258;1
1590;T_S267;4258;1
1591;T_S268;4258;1
1592;T_S271;4258;5
1593;T_S272;4258;4
1594;T_S273;4258;1
1595;T_S274;4258;1
1596;T_S275;4260;1
1597;T_S254;4340;1
1599;T_S249;4374;155
1600;T_S272;4376;3
1601;T_S250;4381;60
1602;T_S269;4407;1
1603;T_S249;4411;3
1604;T_S256;4411;1
1605;T_S257;4411;5
1606;T_S261;4411;1
1607;T_S262;4411;1
1608;T_S266;4411;1
1609;T_S268;4411;1
1610;T_S269;4411;10
1611;T_S270;4411;2
1612;T_S274;4411;2
1613;T_S251;4412;6
1614;T_S253;4412;3
1615;T_S256;4412;6
1616;T_S257;4412;6
1617;T_S258;4412;10
1618;T_S259;4412;7
1619;T_S260;4412;19
1620;T_S261;4412;14
1621;T_S266;4412;4
1622;T_S267;4412;22
1623;T_S268;4412;18
1624;T_S270;4412;11
1625;T_S271;4412;9
1626;T_S272;4412;9
1627;T_S273;4412;21
1628;T_S274;4412;10
1629;T_S275;4412;7
1630;T_S251;4426;3
1631;T_S256;4426;2
1632;T_S257;4426;4
1633;T_S258;4426;3
1634;T_S259;4426;1
1635;T_S260;4426;2
1636;T_S261;4426;3
1637;T_S267;4426;4
1638;T_S268;4426;4
1639;T_S271;4426;1
1640;T_S273;4426;1
1641;T_S274;4426;6
1642;T_S275;4426;2
1647;T_S258;4438;3
1648;T_S259;4438;1
1649;T_S267;4438;2
1650;T_S268;4438;2
1651;T_S271;4438;2
1652;T_S272;4438;1
1660;T_S249;4442;1
1661;T_S251;4442;1
1662;T_S271;4442;2
1663;T_S265;4450;1
1664;T_S265;4451;1
1684;T_S249;4452;4
1685;T_S250;4452;1
1686;T_S251;4452;6
1687;T_S252;4452;12
1688;T_S253;4452;2
1689;T_S254;4452;1
1690;T_S255;4452;2
1691;T_S256;4452;3
1692;T_S257;4452;4
1693;T_S258;4452;2
1694;T_S259;4452;2
1695;T_S260;4452;5
1696;T_S262;4452;3
1697;T_S263;4452;2
1698;T_S264;4452;9
1699;T_S265;4452;5
1700;T_S268;4452;2
1701;T_S269;4452;1
1702;T_S270;4452;3
1703;T_S272;4452;1
1704;T_S275;4452;2
1711;T_S251;4454;3
1712;T_S253;4454;1
1713;T_S254;4454;1
1714;T_S255;4454;7
1715;T_S256;4454;6
1716;T_S257;4454;1
1717;T_S258;4454;5
1718;T_S259;4454;7
1719;T_S260;4454;5
1720;T_S261;4454;3
1721;T_S263;4454;9
1722;T_S264;4454;3
1723;T_S265;4454;8
1724;T_S266;4454;3
1725;T_S267;4454;3
1726;T_S268;4454;3
1727;T_S271;4454;1
1728;T_S272;4454;1
1729;T_S273;4454;1
1730;T_S275;4454;2
1737;T_S251;4460;3
1738;T_S252;4460;2
1739;T_S253;4460;1
1740;T_S254;4460;1
1741;T_S255;4460;3
1742;T_S256;4460;1
1743;T_S259;4460;1
1744;T_S263;4460;1
1745;T_S264;4460;1
1746;T_S265;4460;6
1752;T_S251;4466;8
1753;T_S253;4466;1
1754;T_S256;4466;3
1755;T_S257;4466;22
1756;T_S258;4466;1
1757;T_S259;4466;2
1758;T_S260;4466;6
1759;T_S261;4466;1
1760;T_S262;4466;3
1761;T_S263;4466;1
1762;T_S264;4466;4
1763;T_S265;4466;1
1764;T_S266;4466;2
1765;T_S267;4466;7
1766;T_S268;4466;3
1767;T_S269;4466;5
1768;T_S270;4466;3
1769;T_S271;4466;5
1770;T_S272;4466;4
1771;T_S275;4466;1
1773;T_S250;4468;1
1774;T_S251;4468;1
1775;T_S264;4468;2
1776;T_S265;4468;1
1777;T_S267;4468;1
1778;T_S273;4468;1
1779;T_S251;4480;1
1780;T_S267;4480;2
1781;T_S269;4480;1
1782;T_S272;4480;2
1790;T_S261;4486;1
1791;T_S275;4486;1
1792;T_S251;4503;105
1793;T_S264;4503;8
1794;T_S266;4503;2
1795;T_S268;4503;4
1796;T_S273;4503;1
1797;T_S275;4503;27
1798;T_S253;4507;20
1799;T_S261;4507;12
1806;T_S254;4512;1
1807;T_S256;4512;1
1808;T_S257;4512;1
1809;T_S259;4512;2
1810;T_S260;4512;1
1811;T_S261;4512;1
1812;T_S262;4512;2
1813;T_S264;4512;1
1814;T_S269;4512;1
1815;T_S270;4512;1
1816;T_S271;4512;1
1817;T_S274;4512;1
1818;T_S275;4512;1
1819;T_S251;4514;3
1820;T_S270;4514;1
1821;T_S271;4514;2
1822;T_S272;4514;1
1827;T_S258;4516;3
1828;T_S259;4516;2
1829;T_S269;4516;1
1830;T_S270;4516;1
1831;T_S272;4516;1
1832;T_S249;4518;3
1833;T_S250;4518;1
1834;T_S251;4518;5
1835;T_S252;4518;8
1836;T_S254;4518;6
1837;T_S255;4518;1
1838;T_S261;4518;5
1839;T_S262;4518;2
1840;T_S264;4518;1
1841;T_S273;4518;7
1842;T_S274;4518;3
1843;T_S275;4518;1
1849;T_S251;4536;2
1850;T_S252;4536;2
1851;T_S255;4536;1
1852;T_S256;4536;3
1853;T_S257;4536;1
1854;T_S258;4536;3
1855;T_S259;4536;2
1856;T_S260;4536;1
1857;T_S261;4536;1
1858;T_S263;4536;1
1859;T_S264;4536;1
1860;T_S267;4536;3
1861;T_S268;4536;1
1862;T_S273;4536;5
1863;T_S274;4536;2
1864;T_S275;4536;2
1865;T_S250;4540;1
1866;T_S251;4540;3
1867;T_S253;4540;4
1868;T_S255;4540;1
1869;T_S256;4540;13
1870;T_S257;4540;1
1871;T_S258;4540;10
1872;T_S259;4540;9
1873;T_S260;4540;20
1874;T_S261;4540;1
1875;T_S262;4540;1
1876;T_S264;4540;6
1877;T_S265;4540;1
1878;T_S266;4540;5
1879;T_S267;4540;13
1880;T_S268;4540;11
1881;T_S269;4540;4
1882;T_S270;4540;4
1883;T_S271;4540;7
1884;T_S272;4540;14
1885;T_S273;4540;11
1886;T_S274;4540;8
1887;T_S275;4540;13
1888;T_S264;4548;3
1889;T_S266;4548;1
1890;T_S267;4548;3
1891;T_S252;4551;1
1892;T_S251;4552;3
1893;T_S253;4552;3
1894;T_S254;4552;6
1895;T_S256;4552;6
1896;T_S257;4552;3
1897;T_S258;4552;3
1898;T_S259;4552;3
1899;T_S260;4552;1
1900;T_S261;4552;1
1901;T_S262;4552;3
1902;T_S266;4552;4
1903;T_S267;4552;14
1904;T_S268;4552;6
1905;T_S269;4552;3
1906;T_S270;4552;8
1907;T_S271;4552;6
1908;T_S273;4552;5
1909;T_S274;4552;12
1910;T_S275;4552;3
1911;T_S253;4553;1
1912;T_S254;4553;3
1913;T_S256;4553;2
1914;T_S262;4553;1
1915;T_S266;4553;10
1916;T_S267;4553;2
1917;T_S269;4553;1
1918;T_S270;4553;2
1919;T_S271;4553;4
1920;T_S272;4553;10
1921;T_S273;4553;1
1922;T_S274;4553;1
1923;T_S275;4553;1
1924;T_S253;4554;1
1925;T_S254;4554;1
1926;T_S256;4554;3
1927;T_S266;4554;2
1928;T_S267;4554;1
1929;T_S269;4554;1
1930;T_S270;4554;2
1931;T_S271;4554;6
1932;T_S273;4554;1
1933;T_S274;4554;3
1934;T_S275;4554;6
1935;T_S249;4556;37
1936;T_S250;4556;22
1937;T_S251;4556;6
1938;T_S252;4556;59
1939;T_S253;4556;14
1940;T_S254;4556;11
1941;T_S255;4556;22
1942;T_S256;4556;5
1943;T_S257;4556;1
1944;T_S258;4556;1
1945;T_S259;4556;5
1946;T_S261;4556;18
1947;T_S262;4556;11
1948;T_S263;4556;13
1949;T_S264;4556;22
1950;T_S265;4556;12
1951;T_S266;4556;10
1952;T_S275;4556;3
1953;T_S253;4558;1
1954;T_S259;4558;2
1955;T_S273;4558;2
1956;T_S269;4560;1
1957;T_S270;4560;1
1958;T_S255;4561;2
1959;T_S261;4561;1
1960;T_S267;4561;1
1961;T_S268;4561;1
1962;T_S271;4561;2
1963;T_S272;4561;4
1964;T_S274;4561;1
1965;T_S250;4565;1
1966;T_S253;4565;1
1967;T_S254;4568;3
1968;T_S261;4568;1
1969;T_S264;4568;1
1970;T_S269;4568;24
1971;T_S270;4568;22
1972;T_S273;4568;47
1983;T_S253;4576;4
1984;T_S256;4576;4
1985;T_S257;4576;3
1986;T_S258;4576;3
1987;T_S259;4576;2
1988;T_S260;4576;10
1989;T_S261;4576;4
1990;T_S265;4576;2
1991;T_S266;4576;1
1992;T_S267;4576;3
1993;T_S268;4576;7
1994;T_S272;4576;4
1995;T_S273;4576;3
1996;T_S275;4576;2
2013;T_S249;4578;3
2014;T_S252;4578;2
2015;T_S253;4578;3
2016;T_S254;4578;2
2017;T_S255;4578;4
2018;T_S256;4578;5
2019;T_S257;4578;1
2020;T_S258;4578;2
2021;T_S259;4578;1
2022;T_S260;4578;1
2023;T_S261;4578;1
2024;T_S262;4578;3
2025;T_S263;4578;5
2026;T_S264;4578;6
2027;T_S265;4578;6
2028;T_S266;4578;4
2029;T_S267;4578;3
2030;T_S268;4578;1
2031;T_S269;4578;2
2032;T_S270;4578;1
2033;T_S273;4578;1
2034;T_S275;4578;5
2035;T_S258;4585;1
2036;T_S267;4585;1
2037;T_S269;4585;1
2038;T_S270;4585;1
2039;T_S271;4585;1
2040;T_S272;4585;1
2041;T_S271;4586;1
2042;T_S272;4586;1
2043;T_S253;4594;1
2044;T_S256;4594;4
2045;T_S258;4594;4
2046;T_S259;4594;1
2047;T_S260;4594;12
2048;T_S261;4594;1
2049;T_S264;4594;2
2050;T_S266;4594;2
2051;T_S267;4594;1
2052;T_S268;4594;1
2053;T_S270;4594;1
2054;T_S273;4594;1
2055;T_S274;4594;2
2056;T_S275;4594;3
2057;T_S257;4598;1
2058;T_S258;4598;3
2059;T_S259;4598;1
2060;T_S260;4598;1
2061;T_S267;4598;1
2062;T_S268;4598;2
2063;T_S273;4598;1
2064;T_S274;4598;2
2065;T_S251;4600;1
2066;T_S253;4600;2
2067;T_S254;4600;6
2068;T_S255;4600;2
2069;T_S256;4600;2
2070;T_S257;4600;1
2071;T_S258;4600;4
2072;T_S259;4600;6
2073;T_S260;4600;1
2074;T_S261;4600;1
2075;T_S262;4600;2
2076;T_S264;4600;2
2077;T_S265;4600;1
2078;T_S266;4600;6
2079;T_S267;4600;1
2080;T_S271;4600;2
2081;T_S272;4600;1
2082;T_S273;4600;10
2083;T_S274;4600;6
2084;T_S275;4600;3
2085;T_S251;4607;5
2086;T_S253;4607;1
2087;T_S256;4607;2
2088;T_S258;4607;3
2089;T_S259;4607;3
2090;T_S260;4607;2
2091;T_S261;4607;1
2092;T_S264;4607;3
2093;T_S267;4607;1
2094;T_S268;4607;2
2095;T_S273;4607;5
2096;T_S274;4607;1
2097;T_S275;4607;1
2098;T_S271;4610;2
2099;T_S272;4610;1
2100;T_S273;4610;1
2101;T_S269;4620;1
2102;T_S270;4620;1
2103;T_S271;4620;3
2104;T_S272;4620;7
2105;T_S273;4620;1
2106;T_S255;4629;1
2107;T_S267;4629;2
2108;T_S268;4629;2
2109;T_S271;4629;2
2110;T_S272;4629;1
2111;T_S273;4629;1
2112;T_S257;4630;1
2113;T_S259;4630;1
2114;T_S257;4632;1
2115;T_S258;4632;2
2116;T_S260;4632;2
2117;T_S267;4632;1
2118;T_S268;4632;2
2119;T_S271;4632;2
2120;T_S275;4632;1
2121;T_S275;4634;1
2122;T_S253;4649;1
2123;T_S264;4649;1
2124;T_S258;4653;2
2125;T_S249;4660;1
2126;T_S251;4660;1
2127;T_S252;4660;1
2128;T_S254;4660;2
2129;T_S256;4660;2
2130;T_S257;4660;3
2131;T_S264;4660;4
2132;T_S267;4660;8
2133;T_S268;4660;1
2134;T_S269;4660;10
2135;T_S270;4660;12
2136;T_S271;4660;8
2137;T_S272;4660;4
2138;T_S273;4660;5
2139;T_S274;4660;5
2140;T_S250;4662;2
2141;T_S252;4662;1
2142;T_S249;4664;3
2143;T_S252;4664;2
2144;T_S256;4664;1
2145;T_S263;4664;3
2146;T_S254;4670;1
2147;T_S256;4678;4
2148;T_S257;4678;28
2149;T_S266;4678;2
2150;T_S272;4678;20
2151;T_S274;4678;27
2152;T_S252;4680;5
2153;T_S253;4680;15
2154;T_S254;4680;1
2155;T_S255;4680;4
2156;T_S256;4680;28
2157;T_S257;4680;7
2158;T_S258;4680;7
2159;T_S259;4680;3
2160;T_S260;4680;13
2161;T_S261;4680;2
2162;T_S262;4680;6
2163;T_S264;4680;3
2164;T_S266;4680;20
2165;T_S267;4680;5
2166;T_S268;4680;3
2167;T_S269;4680;9
2168;T_S270;4680;23
2169;T_S272;4680;3
2170;T_S273;4680;10
2171;T_S274;4680;35
2172;T_S275;4680;16
2173;T_S252;4682;1
2174;T_S253;4682;2
2175;T_S256;4682;15
2176;T_S257;4682;24
2177;T_S266;4682;4
2178;T_S267;4682;21
2179;T_S268;4682;3
2180;T_S269;4682;25
2181;T_S270;4682;24
2182;T_S271;4682;127
2183;T_S272;4682;55
2184;T_S273;4682;1
2185;T_S274;4682;4
2186;T_S249;4684;25
2187;T_S250;4684;4
2188;T_S251;4684;28
2189;T_S252;4684;17
2190;T_S253;4684;20
2191;T_S254;4684;26
2192;T_S255;4684;19
2193;T_S256;4684;3
2194;T_S257;4684;7
2195;T_S258;4684;6
2196;T_S259;4684;10
2197;T_S260;4684;2
2198;T_S261;4684;9
2199;T_S262;4684;10
2200;T_S263;4684;12
2201;T_S264;4684;11
2202;T_S265;4684;35
2203;T_S266;4684;2
2204;T_S270;4684;9
2205;T_S273;4684;13
2206;T_S274;4684;4
2207;T_S275;4684;19
2208;T_S253;4686;1
2209;T_S256;4686;2
2210;T_S257;4686;2
2211;T_S258;4686;7
2212;T_S260;4686;4
2213;T_S261;4686;2
2214;T_S265;4686;2
2215;T_S267;4686;16
2216;T_S268;4686;18
2217;T_S269;4686;2
2218;T_S270;4686;5
2219;T_S271;4686;17
2220;T_S272;4686;11
2221;T_S273;4686;2
2222;T_S274;4686;3
2223;T_S267;4691;3
2224;T_S271;4691;2
2225;T_S272;4691;1
2226;T_S269;4692;1
2227;T_S270;4692;1
2228;T_S249;4725;20
2229;T_S251;4725;2
2230;T_S252;4725;117
2231;T_S253;4725;3
2232;T_S256;4725;11
2233;T_S258;4725;4
2234;T_S259;4725;2
2235;T_S260;4725;5
2236;T_S262;4725;1
2237;T_S263;4725;8
2238;T_S264;4725;26
2239;T_S266;4725;1
2240;T_S267;4725;5
2241;T_S268;4725;6
2242;T_S269;4725;1
2243;T_S271;4725;6
2244;T_S273;4725;14
2252;T_S251;4738;2
2253;T_S253;4738;1
2254;T_S255;4738;1
2255;T_S256;4738;3
2256;T_S259;4738;1
2257;T_S266;4738;2
2258;T_S267;4738;1
2259;T_S268;4738;1
2260;T_S274;4738;1
2273;T_S249;4742;37
2274;T_S251;4742;3
2275;T_S253;4742;1
2276;T_S256;4742;10
2277;T_S257;4742;5
2278;T_S260;4742;1
2279;T_S262;4742;6
2280;T_S263;4742;6
2281;T_S267;4742;13
2282;T_S275;4742;1
2296;T_S251;4754;6
2297;T_S253;4754;3
2298;T_S254;4754;1
2299;T_S256;4754;3
2300;T_S258;4754;6
2301;T_S259;4754;1
2302;T_S260;4754;5
2303;T_S263;4754;1
2304;T_S264;4754;5
2305;T_S265;4754;3
2306;T_S266;4754;11
2324;T_S249;4756;3
2325;T_S251;4756;3
2326;T_S252;4756;1
2327;T_S253;4756;19
2328;T_S254;4756;2
2329;T_S255;4756;4
2330;T_S256;4756;2
2331;T_S257;4756;4
2332;T_S258;4756;14
2333;T_S259;4756;6
2334;T_S260;4756;7
2335;T_S261;4756;5
2336;T_S262;4756;2
2337;T_S266;4756;6
2338;T_S267;4756;5
2339;T_S268;4756;2
2340;T_S271;4756;1
2341;T_S273;4756;1
2342;T_S274;4756;16
2343;T_S275;4756;15
2345;T_S254;4757;1
2346;T_S263;4757;1
2347;T_S266;4757;3
2348;T_S273;4757;1
2349;T_S274;4757;1
2356;T_S253;4758;1
2357;T_S255;4758;3
2358;T_S256;4758;9
2359;T_S257;4758;4
2360;T_S258;4758;5
2361;T_S259;4758;1
2362;T_S260;4758;28
2363;T_S261;4758;3
2364;T_S265;4758;15
2365;T_S267;4758;2
2366;T_S269;4758;2
2367;T_S270;4758;1
2368;T_S271;4758;2
2369;T_S272;4758;12
2370;T_S273;4758;1
2371;T_S274;4758;1
2372;T_S250;4759;1
2373;T_S253;4759;4
2374;T_S254;4759;1
2375;T_S255;4759;7
2376;T_S259;4759;1
2377;T_S261;4759;2
2378;T_S263;4759;4
2379;T_S264;4759;2
2380;T_S265;4759;55
2381;T_S274;4759;1
2399;T_S249;4760;132
2400;T_S250;4760;19
2401;T_S251;4760;1
2402;T_S252;4760;35
2403;T_S253;4760;68
2404;T_S254;4760;76
2405;T_S255;4760;46
2406;T_S256;4760;105
2407;T_S257;4760;88
2408;T_S258;4760;71
2409;T_S259;4760;11
2410;T_S260;4760;10
2411;T_S261;4760;21
2412;T_S262;4760;77
2413;T_S263;4760;72
2414;T_S264;4760;40
2415;T_S265;4760;6
2416;T_S266;4760;24
2417;T_S268;4760;1
2418;T_S269;4760;51
2419;T_S270;4760;63
2420;T_S273;4760;37
2421;T_S274;4760;6
2422;T_S275;4760;139
2429;T_S258;4761;2
2430;T_S260;4761;1
2431;T_S267;4761;4
2432;T_S272;4761;1
2448;T_S254;4762;2
2449;T_S256;4762;6
2450;T_S257;4762;8
2451;T_S258;4762;2
2452;T_S259;4762;12
2453;T_S260;4762;10
2454;T_S266;4762;1
2455;T_S267;4762;21
2456;T_S268;4762;4
2457;T_S269;4762;7
2458;T_S270;4762;6
2459;T_S271;4762;3
2460;T_S273;4762;7
2461;T_S274;4762;21
2462;T_S275;4762;1
2472;T_S249;4764;2
2473;T_S251;4764;4
2474;T_S253;4764;2
2475;T_S254;4764;1
2476;T_S255;4764;15
2477;T_S256;4764;18
2478;T_S257;4764;8
2479;T_S258;4764;2
2480;T_S260;4764;2
2481;T_S262;4764;2
2482;T_S263;4764;1
2483;T_S264;4764;6
2484;T_S265;4764;2
2485;T_S266;4764;5
2486;T_S269;4764;3
2487;T_S273;4764;1
2488;T_S275;4764;6
2496;T_S256;4765;1
2497;T_S259;4765;2
2498;T_S266;4765;5
2499;T_S267;4765;3
2500;T_S268;4765;3
2501;T_S269;4765;7
2502;T_S270;4765;8
2503;T_S271;4765;1
2504;T_S273;4765;40
2505;T_S274;4765;2
2519;T_S249;4766;5
2520;T_S251;4766;30
2521;T_S253;4766;1
2522;T_S255;4766;1
2523;T_S256;4766;9
2524;T_S257;4766;15
2525;T_S258;4766;14
2526;T_S260;4766;21
2527;T_S261;4766;10
2528;T_S264;4766;2
2529;T_S266;4766;16
2530;T_S267;4766;10
2531;T_S268;4766;1
2532;T_S269;4766;2
2533;T_S273;4766;1
2534;T_S275;4766;4
2547;T_S249;4770;2
2548;T_S253;4770;4
2549;T_S256;4770;3
2550;T_S258;4770;12
2551;T_S259;4770;9
2552;T_S260;4770;13
2553;T_S261;4770;1
2554;T_S266;4770;2
2555;T_S267;4770;6
2556;T_S268;4770;2
2557;T_S271;4770;1
2558;T_S273;4770;5
2559;T_S275;4770;3
2565;T_S251;4772;1
2566;T_S256;4772;2
2567;T_S263;4772;1
2568;T_S266;4772;2
2569;T_S267;4772;8
2570;T_S268;4772;5
2571;T_S274;4772;10
2582;T_S253;4773;7
2583;T_S256;4773;6
2584;T_S257;4773;1
2585;T_S259;4773;3
2586;T_S260;4773;7
2587;T_S261;4773;5
2588;T_S263;4773;4
2589;T_S267;4773;21
2590;T_S268;4773;14
2591;T_S269;4773;10
2592;T_S270;4773;4
2593;T_S271;4773;13
2594;T_S272;4773;7
2595;T_S274;4773;3
2610;T_S256;4777;2
2611;T_S257;4777;2
2612;T_S258;4777;4
2613;T_S260;4777;2
2614;T_S266;4777;3
2615;T_S267;4777;3
2616;T_S271;4777;3
2617;T_S273;4777;2
2618;T_S275;4777;2
2628;T_S251;4778;9
2629;T_S255;4778;2
2630;T_S256;4778;7
2631;T_S259;4778;1
2632;T_S260;4778;1
2633;T_S261;4778;7
2634;T_S263;4778;4
2635;T_S265;4778;16
2636;T_S266;4778;6
2637;T_S267;4778;3
2638;T_S268;4778;1
2639;T_S269;4778;2
2640;T_S270;4778;2
2641;T_S271;4778;1
2642;T_S272;4778;5
2643;T_S275;4778;2
2663;T_S252;4780;2
2664;T_S253;4780;10
2665;T_S254;4780;1
2666;T_S255;4780;17
2667;T_S256;4780;88
2668;T_S257;4780;12
2669;T_S258;4780;15
2670;T_S259;4780;20
2671;T_S260;4780;7
2672;T_S261;4780;18
2673;T_S262;4780;2
2674;T_S263;4780;16
2675;T_S264;4780;12
2676;T_S265;4780;21
2677;T_S266;4780;16
2678;T_S267;4780;51
2679;T_S268;4780;42
2680;T_S269;4780;3
2681;T_S270;4780;2
2682;T_S271;4780;12
2683;T_S272;4780;26
2684;T_S273;4780;67
2685;T_S274;4780;11
2686;T_S275;4780;15
2697;T_S256;4782;1
2698;T_S258;4782;2
2699;T_S260;4782;2
2700;T_S267;4782;6
2701;T_S268;4782;4
2702;T_S271;4782;1
2703;T_S273;4782;1
2704;T_S275;4782;1
2705;T_S252;4864;1
2706;T_S254;4864;5
2707;T_S267;4868;1
2708;T_S268;4868;1
2709;T_S269;4868;8
2710;T_S270;4868;1
2711;T_S271;4868;2
2712;T_S272;4868;2
2713;T_S274;4868;1
2714;T_S254;4872;3
2715;T_S265;4872;1
2716;T_S270;4872;5
2717;T_S273;4872;1
2718;T_S254;4942;1
2719;T_S256;4942;6
2720;T_S257;4942;2
2721;T_S258;4942;1
2722;T_S259;4942;1
2723;T_S260;4942;4
2724;T_S261;4942;2
2725;T_S262;4942;1
2726;T_S263;4942;1
2727;T_S264;4942;1
2728;T_S266;4942;4
2729;T_S267;4942;2
2730;T_S268;4942;10
2731;T_S269;4942;1
2732;T_S270;4942;1
2733;T_S271;4942;8
2734;T_S272;4942;7
2735;T_S274;4942;2
2736;T_S266;4952;1
2737;T_S249;4968;1
2738;T_S249;5018;3
2739;T_S251;5018;4
2740;T_S252;5018;5
2741;T_S253;5018;6
2742;T_S254;5018;5
2743;T_S256;5018;3
2744;T_S260;5018;2
2745;T_S261;5018;2
2746;T_S264;5018;1
2747;T_S271;5018;1
2748;T_S273;5018;2
2749;T_S274;5018;6
2750;T_S275;5018;2
2751;T_S268;5019;1
2752;T_S255;5050;7
2753;T_S256;5050;1
2754;T_S257;5050;2
2755;T_S259;5050;7
2756;T_S260;5050;1
2757;T_S261;5050;4
2758;T_S263;5050;4
2759;T_S264;5050;2
2760;T_S265;5050;8
2761;T_S266;5050;2
2762;T_S268;5050;1
2763;T_S273;5050;4
2764;T_S274;5050;4
2765;T_S252;5054;4
2766;T_S254;5054;1
2767;T_S258;5054;1
2768;T_S259;5054;2
2769;T_S265;5054;1
2770;T_S266;5054;1
2771;T_S272;5054;1
2772;T_S275;5054;1
2773;T_S249;5200;2
2774;T_S250;5200;2
2775;T_S252;5200;2
2776;T_S254;5200;5
2777;T_S269;5200;7
2778;T_S270;5200;2
2779;T_S249;5208;4
2780;T_S250;5208;6
2781;T_S253;5208;1
2782;T_S254;5208;1
2783;T_S259;5208;1
2784;T_S263;5208;1
2785;T_S252;5222;2
2786;T_S250;5282;1
2787;T_S252;5282;2
2788;T_S249;5291;2
2789;T_S265;5291;1
2790;T_S271;5514;1
2791;T_S250;5542;3
2792;T_S250;5548;2
2793;T_S252;5550;1
2794;T_S251;5552;4
2795;T_S269;5552;13
2796;T_S270;5552;6
2797;T_S250;5610;1
2798;T_S268;5610;2
2802;T_S251;5614;46
2803;T_S261;5614;16
2811;T_S253;5622;4
2812;T_S254;5622;8
2813;T_S255;5622;3
2814;T_S256;5622;3
2815;T_S257;5622;4
2819;T_S249;5623;7
2820;T_S251;5623;3
2821;T_S254;5623;17
2822;T_S255;5623;1
2823;T_S262;5623;1
2824;T_S263;5623;5
2825;T_S264;5623;1
2826;T_S265;5623;1
2827;T_S266;5623;2
2828;T_S268;5623;2
2829;T_S269;5623;3
2830;T_S273;5623;6
2831;T_S274;5623;4
2832;T_S275;5623;2
2833;T_S263;5624;1
2841;T_S249;5628;28
2842;T_S250;5628;18
2843;T_S252;5628;2
2844;T_S253;5628;14
2845;T_S254;5628;5
2846;T_S255;5628;4
2847;T_S256;5628;34
2848;T_S258;5628;1
2849;T_S259;5628;1
2850;T_S260;5628;4
2851;T_S262;5628;7
2852;T_S263;5628;9
2853;T_S265;5628;1
2854;T_S266;5628;3
2855;T_S269;5628;7
2856;T_S274;5628;3
2857;T_S275;5628;5
2868;T_S256;5629;7
2869;T_S257;5629;2
2870;T_S260;5629;7
2871;T_S266;5629;9
2872;T_S267;5629;66
2873;T_S268;5629;10
2874;T_S271;5629;56
2875;T_S275;5629;2
2885;T_S252;5630;1
2886;T_S256;5630;7
2887;T_S257;5630;2
2888;T_S258;5630;29
2889;T_S260;5630;5
2890;T_S262;5630;2
2891;T_S264;5630;1
2892;T_S266;5630;18
2893;T_S269;5630;3
2894;T_S270;5630;24
2895;T_S271;5630;7
2896;T_S272;5630;12
2897;T_S274;5630;3
2898;T_S275;5630;6
2899;T_S256;5632;1
2900;T_S259;5632;2
2901;T_S264;5632;4
2902;T_S274;5632;1
2903;T_S275;5632;1
2908;T_S269;5634;13
2909;T_S270;5634;24
2910;T_S274;5634;4
2911;T_S275;5634;1
2913;T_S259;5636;2
2919;T_S257;5638;7
2920;T_S260;5638;3
2921;T_S269;5638;9
2922;T_S270;5638;4
2928;T_S249;5640;1
2929;T_S251;5640;9
2930;T_S256;5640;2
2931;T_S257;5640;6
2932;T_S260;5640;2
2933;T_S268;5640;40
2934;T_S274;5640;8
2935;T_S275;5640;8
2937;T_S251;5650;7
2938;T_S253;5650;1
2939;T_S254;5650;4
2940;T_S255;5650;1
2941;T_S257;5650;3
2942;T_S258;5650;5
2943;T_S265;5650;1
2944;T_S267;5650;4
2945;T_S270;5650;1
2966;T_S249;5652;20
2967;T_S250;5652;5
2968;T_S251;5652;11
2969;T_S252;5652;8
2970;T_S253;5652;12
2971;T_S254;5652;12
2972;T_S255;5652;22
2973;T_S256;5652;24
